Date,Name,NumberOfGuesses
2019-02-18 23:23:43.044757,ben,3
2019-02-18 23:25:48.713693,roger,6
2019-02-18 23:26:41.497965,ben,7
2019-02-18 23:27:01.428786,ben,7
2019-02-18 23:27:34.418737,ben,7
2019-02-18 23:28:00.544906,ben,7
2019-02-18 23:28:28.629038,jeff bozo,2
2019-02-18 23:28:41.896455,jeff bozo,4
2019-02-18 23:29:01.653950,jeff bozo,6
2019-02-18 23:29:32.124940,ben,7
2019-02-18 23:30:05.607047,ben,7
2019-02-18 23:30:36.693450,jeff bozo,7
2019-02-18 23:31:42.225802,roger,5
2019-02-18 23:32:22.416057,roger,6
2019-02-18 23:44:25.738116,ben,7
2019-02-18 23:45:20.288474,ben,7
2019-02-18 23:45:57.878675,ben,7
2019-02-18 23:46:28.642713,ben,7
2019-02-18 23:47:13.220856,ben,6
2019-02-18 23:49:07.011212,johnny milkshakes,5
2019-02-18 23:55:08.446756,johnny milkshakes,4
2019-02-18 23:55:52.225046,johnny milkshakes,8
2019-02-18 23:56:42.351454,johnny milkshakes,6
2019-02-18 23:57:38.430528,ben,6
2019-02-23 22:24:04.964398,ben,2
2019-02-23 22:38:20.061175,ben,1
2019-02-23 22:40:27.774632,ben,7
2019-02-23 22:41:48.841906,roger,6
2019-02-23 23:23:51.378243,roger,7
2019-02-23 23:25:19.889518,roger,7
2019-02-23 23:26:46.939496,johnny milkshakes,5
2019-02-23 23:39:17.757210,joey flowers,6
2019-02-23 23:40:14.234788,joey flowers,8
2019-02-23 23:40:45.715386,joey flowers,6
2019-02-23 23:41:35.496361,joey flowers,6
